id;start_date;end_date;language
1;2019-05-19T05:13:27;2019-05-18T22:21:45;FRENCH
2;2019-05-19T06:43:33;2019-05-18T15:49:43;FRENCH
3;2019-05-19T02:15:37;2019-05-18T17:39:37;FRENCH
4;2019-05-18T15:27:29;2019-05-18T22:54:30;FRENCH
5;2019-05-19T00:26:08;2019-05-19T05:10:16;FRENCH
6;2019-05-19T06:43:08;2019-05-19T08:00:04;FRENCH
7;2019-05-18T16:05:28;2019-05-19T04:46:15;FRENCH
8;2019-05-18T13:36:47;2019-05-18T21:36:56;FRENCH
9;2019-05-18T23:24:53;2019-05-19T07:49:31;FRENCH
10;2019-05-19T02:43:02;2019-05-18T23:59:17;FRENCH
